<>안의 것은 챕터
()안의 것은 부가설명
시스템은 나레이션
배경은 화면에 나타나는 글씨
장소는 배경이 되는 장소
-00	000000000
	그래서 저를 보내셔서 구슬을 모두 모아 은색잔에 담은뒤 그 잔을 완전 파괴시키게 하셨어요
	시간이 지날수록 마물들은 구슬에 힘을 담을거에요 힘이 담길수록 마물은 강해질거고 그럼 일이 더 어려워지겠죠(페이드아웃)
-주인공	그렇군... 그일.. 혹시 내가 도와줘도될까..?
	아버지가 마왕을 봉인시켜서인지 나도 무언가 책임감을 느껴..
-셀라	!! 당신이 영웅의 아들이셨군요! 영광이에요! 그럼 도와주시겠어요?? 저번과 같이 마물에게 당할수도 있어서 사실 조금 불안했거든요
-주인공	좋아! 그럼 결정이다!
	아, 떠나기전에 한가지, 나를 돌봐주던 키례프 아저씨를 만나러가자
>>	(페이드아웃)회상씬
-주인공	아버지가 돌아가시고 키례프 아저씨가 나를 아들처럼 여기며 보살펴 주셨어
	정말 고마운 분이시니까.. 떠나기 전에 인사라도 드리고 싶어
>>	회상 끝
-셀라	좋아요. 갑시다
-------------------------------------------------------------------------------------------------------
<챕터1. 스테이지1> -키례프를 찾아서
>>	소녀와 주인공 덩그러니
-주인공	그럼 가볼까!
-셀라	앗! 마물이에요!
(플레이)	마물을 잡는 플레이어
-주인공	...! 이곳에 약초와 버섯도 있어! 가져가면 식량은 문제없겠군
>>	화면을 어둡게하고 약초와 버섯만 밝게 보여주면서 어떤 모습인지 플레이어에게 확인시켜준다
-주인공	계속해서 가보자!
(플레이)	진행하면서 계속 전투
(플레이)	마을에 도착
-주인공	아저씨는 어디에 있지...?
	아저씨의 집에 가보자
(플레이)	아저씨의 집을 찾아 들어갔지만 아무도 없다
-주인공	음.. 일을 하러 가신건가..?
	마을사람에게 물어봐야겠다

<챕터1. 스테이지2> -사라진 키례프
-주인공	마을사람들에게 키례프 아저씨를 보았는지 물어보자
(플레이)	플레이어가 마을 사람들에게 말을 검
(플레이)	3명정도
-주인공	음... 없는거같은데?
	숲에 가셨을 지도 몰라! 마을 외진 곳에서 찾아보자
>>	마을 외진 곳으로 이동하는 플레이어
>>	마물 등장 전투 시작
>>	커다란 늑대 발견
-주인공	이늑대는 왜이리 크지...?
-셀라	!! 아마 구슬을 가지고 있을거에요! 구슬의 힘을 빌려 몸이 커진것 같아요
-주인공	구슬인가! 잡아야겠군!
(플레이)	전투 후 구슬 1개 획득(총 1개)
-주인공 구슬이 이렇게 생겼구나..
	자 여기있어
-셀라	감사합니다
>>	은색잔에 구슬을 넣는 셀라, 구슬이 녹아 액체가 되고 셀라가 마신다
-주인공	엑 그거 마시는거야?
-셀라	네! 보통의 사람이라면 마시면 큰일 나겠지만 전 이일을 위해 있는 존재이니까요
-주인공	으음.. 그런건가
-셀라	아, 제가 구슬의 힘을 조종해서 당신을 위해 버프를 걸어드릴게요 ★
시스템	셀라에게 구슬을 5개 줄때마다 스킬창의 셀라의 스킬포인트가 1씩 증가합니다
-주인공	오! 열심히 모아야겠구만!
{★★★★★★★★★★★★★★★★★★★★★★★★★★★★
-??	꾸웨에에렉!!!!!
-주인공	..?! 뭐지!
-셀라	저쪽에서 들렸어요! 가보죠!
>>	이동하는 플레이어
>>	그곳엔 커다란 멧돼지가 있었음(보스)
>>	멧돼지는 사람의 시체로 보이는 것을 먹고있음
-주인공	.....!! 아저씨..? 키례프 아저씨!!!! 안돼!!!!
>>	전투 시작
>>	멧돼지 처치 구슬 3개 획득 (총 4개)
-주인공	흑흐흑... 키례프 아저씨...
	아아.... 어떻게.. 어떻게 이럴수가...
-셀라	....
시스템	투둑
-주인공	....? 이건...?
시스템	구슬 4개를 획득했습니다(총 8개)
-셀라	이분은... 구슬을 모으고 있었나보군요.. 아마 구슬로인해 마물이 강해지고 있다는걸 눈치 채셨겠죠..
-주인공	아아.... 아저씨.. 제가.. 제가 이 일을 끝내고야 말겠습니다... 아아....
시스템	깨달음:키례프의 의지 을 획득했습니다. (모든 스텟 +1) (깨달음 : 스토리를 통해서 얻게 되는 패시브 스킬)
>>	(페이드아웃)
}
<챕터1. 스테이지3> -키례프의 장례, 마물
배경	-마을-
장소	마을
-셀라	일어나세요 주인공님
-주인공	으.. 으음..??
	내가 언제 잠이 들었지...
-셀라	그이후 지쳐서 쓰러지신거 같아요
	어서 일어나세요
	오늘은 키례프님의 장례가 있을거에요
	아침차려드릴게요. 어떤걸 드시겠어요?
	1.된장국정식(체력상승) 2.참치마요덮밥(회피상승) 3.버섯무침(이속상승) 4.김치전골(공격력증가)
시스템	능력이 일정기간동안 상승합니다
-셀라	자 그럼 갈까요?
(플레이)	주인공이 밖으로 나감
>>	마을사람들과 키례프의 장례를 치르는 모습을 보여줌
>>	키례프에게 꽃을 올리는 주인공
-??	꺄악!!! 마물이야!!
-??	마물이다!! 마물이 쳐들어오고있어!!
-주인공	....아저씨의 장례조차 조용히 치를수 없는건가..
	가자 셀라 일이다★★
-셀라	네..
(플레이)	적은 고블린 개체중 보스는 킹고블린
(플레이)	고블린을 쓰러뜨리면 킹고블린과 1:1대결구도(보스전)
(플레이)	보스에게서 구슬 1개 (총 9개)
-셀라	저기 집이 무너졌어! 사람들을 구해야해 
(플레이)	부모가 죽은 소녀 구출
-주인공	재정비를 해야겠어.. 마을로 돌아가자
(플레이)	마을에서 재정비 (하에오 : 키례프의 집으로 가면 옛 장비를 얻을 수 있다.)
-주인공	지쳤어.. 좀 쉬고싶네 여관을 찾아보자
(플레이)	여관으로감
-여관	오 마을을 구한 친구로군? 고마워 네가 아니었으면 사람들이 많이 다쳤을거야.. 보답으로 방값을 조금 깍아주지!
-1층사람	그때 우리를 구해준 그 친구 아니야?... 집은 부숴졌지만, 구해줘서 고마워.
-2층사람	(가족사진을 보면서 혼잣말) 어흑...흑..흐그ㅡ흫흐흐ㅠㅠㅜㅠㅠㅠ 여보.....
-주인공	/내가 좀 더 빨리 움직였더라면 모두가 살았진 않았을까..
>>	(페이드 아웃)

<챕터1. 스테이지4> -마을을 떠나며
-주인공	/수도에 가면 구슬에 대한 정보를 더 많이 얻을 수 있겠지?
	셀라! 우리는 수도로 갈거야!
	수도에 가면 구슬에 대한 정보가 많을거라 생각해.
-셀라	네, 좋은 생각이네요.
-주인공	그전에 아저씨를 한번더 보고 가야겠어..
(플레이)	키례프의 무덤에 간다
-주인공	아저씨.. 저는 이제 갑니다.. 그동안 감사했습니다..
-셀라	분명 좋은 곳으로 가셨을거에요..
-주인공	그럼 가볼까
(플레이)	보물상자만 있는맵과 마물이 있는 맵이 섞여있음 ★★
(플레이)	스테이지 최종맵에 도착
-주인공	날이 저물었네.. 잘준비를 해야겠어
>>	물고기를 잡고 물고기를 굽는 주인공 ★★
>>	토끼가 나타나 전투 후 토끼고기를 굽는 주인공
>>	이후 잠을 잔다.					-추후에 수정바람
시스템	캠프 시스템 적용 구상하기★★★★★★★★★★
---------------------------------------------------------------------------------------------------------
<챕터2. 스테이지1>
-셀라	일어나세요! 아침이에요
	오늘은 무엇을 드시겠어요??
	1.체력증가 2.공격증가 3.회피증가 4.이속증가
시스템	능력이 일정기간동안 상승합니다.
-주인공	출발하자 수도를향해서..
(플레이)	이동하며 마물잡음
-??	꺄앍!
-주인공	마물인가..!
(플레이)	가봄
-??	헠헠 너무 기여어!
>>	귀여운 마물을 보고 헠헠 거리는 ??
-주인공	아... 확실히 귀엽네..
-마물	..... 크르르르르르르으아아아아악!
>>	마물의 거대화
-주인공	!!
-??	꺄악!
-???	어억!
>>	?? 도망감
(플레이)	마물을 잡음★★
-??	감사해요.. 저는 아리스, 상인이에요
	물건을 팔기위해 수도로 가는길이에요
-???	저는 로져라고 해요. 아리스 옆집 상인이죠.
	반가워요.
-주인공	! 그럼 나와 같이 가지 않을래?
	나도 수도로 가는길이야
-아리스	마물도 무섭고 함께 가는게 좋을거 같긴하네요! 좋아요!
(플레이)	맵 2개정도 더 깸
-아리스	원래 이곳에 이런 마물은 없었는데...
-셀라	... 마물들이 강해지고 있어요..
>>	(페이드 아웃)

<챕터2. 스테이지2>
(플레이)	그냥 전투 맵 몇개 깨셈
(플레이)	강한 몬스터 조우
-셀라	지금은 저 몬스터를 못잡을거 같아요..
-아리스	저 마물을 그대로 두면 마을을 덮칠거에요.. 어쩌죠..?
시스템	1.마물을 유인해 마을로 가는것을 막는다 2.피해서 간다
>>	1을 고르면 아리스가 부상, 2를 고르면 나중에 마을이 붕괴한다는 소식접하게됨
(플레이)	1선택시
-아리스	아아앙악!!!!
-주인공	아리스!!
시스템	아리스가 부상을 입었다. 일정기간동안 상점을 이용할수 없습니다.
>>	2선택시
(플레이)	1번 2번 공통, 몬스터의 추격과 공격을 피해서 도주.
시스템	무사히 도망쳤다
(플레이)	이후에 전투 맵 몇개 깨셈

<챕터2. 스테이지3>
배경	-수도-
장소	수도
>>	걸어가던 도중 아버지의 동상을 발견함
-주인공	아버지... 저도 언젠가 아버지처럼 될 수 있을까요..?
>>	수도엔 상점 등등의 npc가 있음
-??	마물이다!! 마물이 수도를 향해 오고있다!! ★★
-주인공	...가야겠군..
(플레이)	마물을 잡으러가는 플레이어
(플레이)	구슬 2개 얻음 (총11개)

(플레이)	수도에서 재정비
-셀라	딱히 구슬에 대한 정보도 없고.. 이젠 마을들을 돌아다니는 수밖에 없네요
-주인공	그럼 어머니가 사는 마을로 가보자 어머니라면 뭔가 아시는게 있을지 몰라 ★★
	가는길에 마을이 한두개 정도 더 있으니 추가적인 정보를 얻기도 편할거야
-셀라	좋아요!
(플레이)	맵2개정도 클리어 구슬추가 3개(총14개)
>>	아리스의 부상이 회복된다 혹은 마을이 붕괴했다는 소식을 접함

<챕터2. 스테이지4>
>>	마을에 도착
(플레이)	마물을 잡고 옴 습격해온건 오크족 구슬 6개 얻음 (총20개)
-셀라	마물이 강해지고 있고 점점 사람들의 영역을 침범하고 있다는걸 이사람들은 아직 모르는것 같네요..
-주인공	그런것 같아.. 마을사람들이 더 불안해 하지 않게 빨리 구슬을 모아야겠어
	다음 마을로 가자
(플레이)	맵 몇개 더 클리어 해야함

<챕터3. 스테이지1>
(플레이)	맵 여러개 전투
{★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
-??	저사람은..??
-??2	저사람이 지나간 곳에 항상 마물이 있다는 소문이 있어요..
-??	그말이 사실이었던건가...?
-주인공	/....? 나를 말하는건가..
}★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
	구슬 3개 획득 (총 23개)


<챕터3. 스테이지2>
(플레이)	맵 여러개 전투
}★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
-??	저사람은..
-??2	마물이다!!
-주인공	정말 내가 가는곳엔 마물이 끊이질 않는군..
}★★★★★★★★★★★★★★★★★★★★★★★★★★★★★★
	구슬 8개 획득 (총 31개)
-마을사람	소문은 사실이었군..★★★
-마을사람	그가 여기에 있는건 위험할지도 몰라요..★★★
	
<챕터3. 스테이지3>
-주인공	/계속된 전투때문인가... 조금씩 머리가 아프네..
(플레이)	맵 몇개 전투
(플레이)	구슬 8개 획득 (총 39개)
>>	마을에 도착
-??	쑥덕쑥덕
-??2	쑥덕쑥덕
-주인공	/이곳에 오래있는건 좋지 않을거 같아.. 마을 사람들도 너무하지.. 그래도 마물을 잡아주는건 나인데..
	/그래도 다행이 이번마을엔 마물이 나타나지 않는군..
(플레이)	맵 몇개 전투
-주인공	/두통이 조금씩 심해지는거 같은데..? 조금 쉬어야 겠어

<챕터3. 스테이지4>
(플레이)	어김없이 전투
(플레이)	보스와 조우 보스는 소형 드래곤
-주인공	드...드래곤?!!
-셀라	드래곤이라니... 점점 상위종 마물들이 나타나는군요.. 조심하세요!
>>	전투 후 구슬 7개 획득 (총 46개)
---------------------------------------------------------------------------------------------------------------
<챕터4. 스테이지1>
(플레이)	맵 몇개 전투 6개 (총 52개)

<챕터4. 스테이지2>
>>	다른 마을에 도착
-꼬마	저리가 이 악마야!
>>	꼬마가 돌을 던짐
-주인공	윽... 아니 꼬마야 이러면 안돼
-??	이리오렴 아가! 가까이 하면 안됀다고 했지!
-꼬마	그치만.. 이녀석이 있는곳엔 마물이 온다며! 여기에도 마물이 오면 어떻게해!
(플레이)	계속해서 돌을 던짐
(플레이)	피격불가 피해서 가야함
(플레이)	돌중에 구슬이 있음 3개 총(55개) 	★★
(플레이)	이후 맵 몇개 클리어 4개 총(59개)


<챕터4. 스테이지3>
시스템	주위풍경이익숙하다
-주인공	/머리가 아프다.. 점점 더 아파 오는 것 같아..
	/그러고 보니 왠지 낯이 익는걸. 아 그래 근처에 내 고향이 있는 곳이구나.
	/좀 쉴까... 고향으로 가보자...
(플레이)	몇개의 맵에 걸쳐 마을에도착
-개	멍멍!
-주인공	아니! 오랜만에보는 개잖아! 아직 날 잊지 않아줬구나 핳핳 많이도 컷네
	음...? 이걸 왜물고 있어??
시스템	구슬을 얻었습니다.(총60개) 	★★
-개주인	아니 넌 주인공! 오랜만이다! 어디서 뭘했던거야!	(소꿉친구)
	잠깐 기다려 사람들에게도 알려야지! 여러분!!!
-마을1	오우! 이게누구야 영웅의 아들이 아니냐!! 점점 영웅과 닮아가는구만 그래!! 핳핳
-마을2	그러게요 아버지를 닮아 참 인물이 용하네
-주인공	여러분들...! 건강해보이셔서 다행이에요!!
	/다행이다 이곳까지 마물들이 덮쳐오진 않은것 같아..
-친구1	앗! 정말이잖아! 주인공이 돌아왔어!!
-친구2	여어! 잘지냈냐? 친구야!
시스템	오랜만에 맡아보는 고향의 냄새와 그리웠던 사람들의 온기였다.
	아아.. 이곳처럼 세계가 평화롭고 따스하면 좋을텐데
-여관	피곤하지? 오늘은 자고가렴! 오랜만에 왔는데 특별히 무료로 재워줄게!
(플레이)	여관에 들어가서 잠을 청하는 플레이어	★★


<챕터4. 스테이지4>
시스템	머리가 너무아프다
	눈을뜰수가 없다.. 아니 눈은 뜨고 있는듯 하다..
	하지만 아무것도 보이지 않는다...
-주인공	셀라...? 셀라 도와줘!! 이상해!! 눈을 떳는데 아무것도 보이지 않아!! 셀라!!
-셀라	....!!
-주인공	셀라?? 거기있지 셀라!!! 으아앙아아아악!!!
-셀라	잠시만 기다리세요!! 금방 해결해 드릴게요!!
-셀라	자라나라 박종혁 대머리 머리머리	★★★★
>>	서서히 앞이 보이는 플레이어, 하지만 분위기가 조금 음산하다
-주인공	음...?!! 세상이 왜 이렇지..?
(플레이)	여관 계단을 내려가는 주인공
	여관 입구에서 검은 그림자를 만난다
-주인공	마물이 여기까지...! 마을사람들은 대체 어디로 간거지..!
-셀라	......
(플레이)	검은 그림자를 처리함
(플레이)	마을로 나온 주인공
(플레이)	검은 그림자가 돌을 던지며 원거리 공격을 함
(플레이)	플레이어가 공격하면 느리게 도망가는 모션.
(플레이)	다음으로 농기구 모양의 무기를 든 그림자가 공격해옴
(플레이)	다잡음
-주인공	저 그림자들은 마을의 농기구를 무기로 쓰려했던건가...
	도구를 사용하는 마물이라니...
-주인공	마을사람들을 찾아야해 친구집에 가봐야겠어
(플레이)	친구집에 간 주인공
-주인공	이런... 여기도 당했나!!
(플레이)	달려드는 그림자
(플레이)	당연히 죽이는 플레이어
(플레이)	구석에 작은 마물이 벌벌떨고있다. 가까이 가니 엄청 시끄러운 소리를 내며 울었다.
-주인공	큿... 머리가 아프군
(플레이)	벌벌떠는 마물을 죽인다.
-주인공	엄마.. 엄마는 어떻게 된거지..??!
(플레이)	엄마의 집에간 주인공
(플레이)	마물이 서있고, 주인공을 보자 주저앉는다.
(플레이)	당연히 죽이는 플레이어
(플레이)	다시 마을로 나옴
-주인공	어떻게 된일이지..! 머리가 아프고 어지러워... 윽...
시스템	정신을 차리기 위해 단검으로 허벅지를 찔렀다.
	간신히 정신이 조금씩 돌아왔다
>>	세상의 음산한 기운이 사라짐
-주인공	이제 좀 괜찮은거같아..
>>	부숴져 있는마을 검은 그림자는 사실 마을 사람들
-주인공	...!!! 아니 이게... 이게 어떻게 된거지!!
>>	친구집에 자동으로 이동됨 친구죽어있음
-주인공	엄마..엄마는...?!
>>	어머니의 집으로 자동으로 이동됨 엄마 죽음
-주인공	셀라.. 이건 어떻게 된거지..?! 셀라!!!
-메르	(울면서) 흐흑,. 사실은 저도 알고있었어요.
	하지만 
-셀라	후훗....후후후후훗...후하하하하하하하하핳
	아하하하하하하핳
	내가 보여주도록하지..
>>	주인공의 이마에 손을 짚는 셀라
	화면전환되고 회상씬
	주인공이 눈이빨개져서 마을사람들을 죽이는것을 보여줌
	다시 원래 화면으로 돌아옴
-주인공	..... 이럴수가.. 셀라.. 왜.. 대체 왜...!
-셀라	하.... 정말 눈치가 없는 녀석이군... 그 텅빈 동태눈깔같은 눈으로 똑똑히 보아라
>>	구슬 30개 이하 : 메르는 산다. 구슬 30개 이상 : 메르는 죽는다. 구슬 95개 이상 : 메르는 터진다.(메르= 셀라의 몸에 있던 본래의 소녀)
-셀라	크흐흐흐흐흐... 고마웠다 주인공아 덕분에 내가 힘을들이지도 않고 모습을 되찾았구나..
	잘있어라 멍청한 녀석... 크하하하하하하하하
>>	셀라 떠나감
	셀라의 몸=메르 만이 남음(시체이거나 살앗거나,, 살았어도 쓰러져있음)
-주인공	으아아아아아아아아아아아ㅏ아아아아아!!!!!!!!!!!
>>	엄마의 시체 옆에서 오열하는 주인공
시스템	아이템획득: 엄마의 목걸이(마나가 생김)
-------------------------------------------------------------------------------------------------------------
<챕터5. 스테이지1>
>>	마을사람들을 묻어주는 주인공
>>	다 묻은후 무덤에 하나하나 꽃을 올리고 있다
>>	마지막으로 어머니의 무덤에 꽃을 올리는 주인공
>>	수도에서 파견한 군대가 다가온다
-고르졸	네가 사람들에게 꽃을 올릴 자격이라도 있다고 생각하는거냐..!
>>	꽃을 짓밟는 고르졸
-주인공	......
-고르졸	포박해
>>	체포당해 끌려가는 주인공 다시 수도로 가는길에 마을을 지나치는 장면을 보여줌
	마을사람들에게 욕을 먹음
-??	너는 쓰레기야!!!
-??2	니가 바로 살아있는 마물이야!!
-??3	어서 죽어버려 이 괴물아!!
>>	주인공이 감옥에 갇힘
-고르졸	일주일 뒤에 찾아오겠다..
>>	일주일을 기다리는 주인공
>>	일주일이 지남
-고르졸	나와
>>	따라가는도중 발도나를 만남
